date,bond_price,future_price
2025-04-21,,
2025-04-22,,295.06
2025-04-23,,297.86
2025-04-24,,298.38
2025-04-25,,298.38
2025-04-28,,297.98
2025-04-29,,297.72
2025-04-30,,296.46
2025-05-01,,
2025-05-02,,297.98
2025-05-05,,298.04
2025-05-06,,297.9
2025-05-07,,298.18
2025-05-08,,298.96
2025-05-09,,299.34
2025-05-12,298.8868,300.38
2025-05-13,299.3546,300.88
2025-05-14,299.4425,300.38
2025-05-15,299.126,299.9
2025-05-16,299.2423,300.26
2025-05-19,299.273,300.02
2025-05-20,299.5284,300.52
2025-05-21,299.5015,300.24
2025-05-22,299.2234,299.54
2025-05-23,298.7675,298.52
2025-05-26,299.206,300.16
2025-05-27,299.3292,300.24
2025-05-28,299.6682,300.6
2025-05-29,300.2928,301.26
2025-05-30,300.5138,301.72
2025-06-02,300.6619,301.8
2025-06-03,300.8785,302.14
2025-06-04,301.2017,302.28
2025-06-05,301.3338,301.62
2025-06-06,301.4396,302.1
2025-06-09,301.6984,302.08
2025-06-10,301.8089,302.38
2025-06-11,301.9636,302.7
2025-06-12,301.8336,302.1
2025-06-13,301.3832,301.28
2025-06-16,301.5259,302.0
2025-06-17,301.4794,301.5
2025-06-18,301.3431,301.12
2025-06-19,300.9845,300.46
2025-06-20,301.1065,301.0
2025-06-23,301.0736,
2025-06-24,301.595,
2025-06-25,301.5372,
2025-06-26,301.2541,
2025-06-27,301.1766,
2025-06-30,301.3548,
2025-07-01,301.4343,
2025-07-02,301.584,
2025-07-03,301.8817,
2025-07-04,301.9676,
2025-07-07,302.1445,
2025-07-08,,
2025-07-09,,
2025-07-10,,
2025-07-11,,
